m,n,poly,seed,sub_idx,matrix_idx,true_rank,target_k,k_over_true_rank,selector,u_method,generation_ms,generation_q_ms,generation_scale_ms,generation_multiply_ms,generation_copy_ms,selection_ms,extraction_ms,u_ms,verification_ms,total_ms,fnorm,optimal_fnorm,error_ratio,score,u_bytes,serialized_solution_bytes,status
1025,1100,true,0,8,2,257,42,0.163424125,block_krylov_maxvol,intersection_inverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,27.149378000,0.085451000,0.199547000,0.383934000,27.818310000,0.844308496,0.000321661,2624.837781816,0.016381965,7056,9254,ok
1025,1100,true,0,8,2,257,42,0.163424125,block_krylov_maxvol,svd_pseudoinverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,27.149378000,0.085451000,5.558663000,0.431114000,33.224606000,0.000746384,0.000321661,2.320403865,1.000000000,7056,9122,ok
1025,1100,true,0,9,2,257,25,0.097276265,matrix_norms,intersection_inverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,0.652361000,0.112982000,0.116359000,0.406466000,1.288168000,0.023361174,0.000710059,32.900344012,0.790265293,2500,3414,ok
1025,1100,true,0,9,2,257,25,0.097276265,matrix_norms,svd_pseudoinverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,0.652361000,0.112982000,3.535258000,0.414122000,4.714723000,0.002231032,0.000710059,3.142038485,1.000000000,2500,3398,ok
1025,1100,true,0,9,2,257,25,0.097276265,block_krylov_maxvol,intersection_inverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,19.057985000,0.084800000,0.126999000,0.380508000,19.650292000,0.002329807,0.000710059,3.281147563,1.000000000,2500,3390,ok
1025,1100,true,0,9,2,257,25,0.097276265,block_krylov_maxvol,svd_pseudoinverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,19.057985000,0.084800000,3.574872000,0.423820000,23.141477000,0.001419364,0.000710059,1.998939560,1.000000000,2500,3382,ok
1025,1100,true,0,10,2,257,85,0.330739300,matrix_norms,intersection_inverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,0.707555000,0.096612000,0.699339000,0.462342000,1.965848000,0.019094329,0.000108960,175.241997532,0.490749941,28900,36514,ok
1025,1100,true,0,10,2,257,85,0.330739300,matrix_norms,svd_pseudoinverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,0.707555000,0.096612000,11.349837000,0.523738000,12.677742000,0.001937737,0.000108960,17.783966925,1.000000000,28900,36370,ok
1025,1100,true,0,10,2,257,85,0.330739300,block_krylov_maxvol,intersection_inverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,49.795029000,0.091412000,0.633695000,0.477089000,50.997225000,0.007421865,0.000108960,68.115636142,1.000000000,28900,36758,ok
1025,1100,true,0,10,2,257,85,0.330739300,block_krylov_maxvol,svd_pseudoinverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,49.795029000,0.091412000,11.204543000,0.623016000,61.714000000,0.000403046,0.000108960,3.699038111,1.000000000,28900,36410,ok
1025,1100,true,0,11,2,257,51,0.198443580,matrix_norms,intersection_inverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,0.734345000,0.087696000,0.256314000,0.445079000,1.523434000,0.095138572,0.000239232,397.683034377,0.130757401,10404,13454,ok
1025,1100,true,0,11,2,257,51,0.198443580,matrix_norms,svd_pseudoinverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,0.734345000,0.087696000,6.789426000,0.493141000,8.104608000,0.001604352,0.000239232,6.706255612,1.000000000,10404,13358,ok
1025,1100,true,0,11,2,257,51,0.198443580,block_krylov_maxvol,intersection_inverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,31.459806000,0.086934000,0.248639000,0.440642000,32.236021000,0.001853187,0.000239232,7.746393730,1.000000000,10404,13410,ok
1025,1100,true,0,11,2,257,51,0.198443580,block_krylov_maxvol,svd_pseudoinverse,6.198300000,5.656208000,0.084509000,0.090641000,0.248389000,31.459806000,0.086934000,6.565071000,0.601915000,38.713726000,0.000581447,0.000239232,2.430473064,1.000000000,10404,13338,ok
1025,1100,true,0,12,3,129,21,0.162790698,matrix_norms,intersection_inverse,4.245938000,3.834141000,0.080402000,0.107332000,0.099458000,0.660215000,0.107072000,0.117651000,0.422066000,1.307004000,0.006287773,0.000233343,26.946475859,0.816433292,1764,2482,ok
1025,1100,true,0,12,3,129,21,0.162790698,matrix_norms,svd_pseudoinverse,4.245938000,3.834141000,0.080402000,0.107332000,0.099458000,0.660215000,0.107072000,3.278293000,0.408149000,4.453729000,0.001065920,0.000233343,4.568036608,1.000000000,1764,2462,ok
1025,1100,true,0,12,3,129,21,0.162790698,block_krylov_maxvol,intersection_inverse,4.245938000,3.834141000,0.080402000,0.107332000,0.099458000,17.139888000,0.089659000,0.104757000,0.399604000,17.733908000,0.000755095,0.000233343,3.235985702,1.000000000,1764,2462,ok
